Goroka Airport,GKA,AYGA
Los Cabos International Airport,SJD,MMSD
San Felipe International Airport,SFH,MMSF
Ponciano Arriaga International Airport,SLP,MMSP
Tlaxcala Airport,\N,MMTA
Terán Air Base,\N,MMTB
Francisco Sarabia International Airport,TRC,MMTC
Angel Albino Corzo International Airport,TGZ,MMTG
General Abelardo L. Rodríguez International Airport,TIJ,MMTJ
General Francisco Javier Mina International Airport,TAM,MMTM
Tamuin Airport,TSL,MMTN
Licenciado Adolfo Lopez Mateos International Airport,TLC,MMTO
Tapachula International Airport,TAP,MMTP
Cancún International Airport,CUN,MMUN
Carlos Rovirosa Pérez International Airport,VSA,MMVA
General Heriberto Jara International Airport,VER,MMVR
General Leobardo C. Ruiz International Airport,ZCL,MMZC
Ixtapa Zihuatanejo International Airport,ZIH,MMZH
Zamora Airport,ZMM,MMZM
Playa De Oro International Airport,ZLO,MMZO
Zapopan Airport,\N,MMZP
Bluefields Airport,BEF,MNBL
Los Brasiles Airport,\N,MNBR
Leon (Fanor Urroz) Airport,\N,MNLN
Augusto C. Sandino (Managua) International Airport,MGA,MNMG
Puerto Cabezas Airport,PUZ,MNPC
Bocas Del Toro International Airport,BOC,MPBO
Cap Manuel Niño International Airport,CHX,MPCH
Enrique Malek International Airport,DAV,MPDA
Panama Pacific International Airport,BLB,MPHO
Marcos A. Gelabert International Airport,PAC,MPMG
Ruben Cantu Airport,SYP,MPSA
Tocumen International Airport,PTY,MPTO
Buenos Aires Airport,BAI,MRBA
Coto 47 Airport,OTR,MRCC
Chacarita Airport,JAP,MRCH
El Carmen de Siquirres Airport,\N,MREC
Finca 10 / Nuevo Palmar Sur Airport,\N,MRFI
Golfito Airport,GLF,MRGF
Guapiles Airport,GPL,MRGP
Daniel Oduber Quiros International Airport,LIR,MRLB
Los Chiles Airport,LSL,MRLC
Limon International Airport,LIO,MRLM
Nosara Airport,NOB,MRNS
Juan Santamaria International Airport,SJO,MROC
Pandora Airport,\N,MRPD
Palmar Sur Airport,PMZ,MRPM
Quepos Managua Airport,XQP,MRQP
Santa Clara De Guapiles Airport,\N,MRSG
San Vito De Java Airport,TOO,MRSV
Monseñor Óscar Arnulfo Romero International Airport,SAL,MSLP
Ilopango International Airport,\N,MSSS
Les Cayes Airport,CYA,MTCA
Cap Haitien International Airport,CAP,MTCH
Jacmel Airport,JAK,MTJA
Toussaint Louverture International Airport,PAP,MTPP
Gustavo Rizo Airport,BCA,MUBA
Carlos Manuel de Cespedes Airport,BYM,MUBY
Maximo Gomez Airport,AVI,MUCA
Jardines Del Rey Airport,CCC,MUCC
Jaime Gonzalez Airport,CFG,MUCF
Vilo Acuña International Airport,CYO,MUCL
Ignacio Agramonte International Airport,CMW,MUCM
Antonio Maceo International Airport,SCU,MUCU
Florida Airport,\N,MUFL
Leeward Point Field,NBW,MUGM
Mariana Grajales Airport,GAO,MUGT
José Martí International Airport,HAV,MUHA
Frank Pais International Airport,HOG,MUHG
La Coloma Airport,LCL,MULM
Orestes Acosta Airport,MOA,MUMO
Sierra Maestra Airport,MZO,MUMZ
Rafael Cabrera Airport,GER,MUNG
Playa Baracoa Airport,UPB,MUPB
Pinar Del Rio Airport,QPD,MUPR
San Antonio De Los Banos Airport,\N,MUSA
Abel Santamaria Airport,SNU,MUSC
Joaquín de Agüero Airport,\N,MUSL
Siguanea Airport,SZJ,MUSN
Sancti Spiritus Airport,USS,MUSS
Juan Gualberto Gomez International Airport,VRA,MUVR
Hermanos Ameijeiras Airport,VTU,MUVT
Gerrard Smith International Airport,CYB,MWCB
Owen Roberts International Airport,GCM,MWCR
Clarence A. Bain Airport,MAY,MYAB
Andros Town Airport,ASD,MYAF
Leonard M Thompson International Airport,MHH,MYAM
San Andros Airport,SAQ,MYAN
Spring Point Airport,AXP,MYAP
Sandy Point Airport,\N,MYAS
Treasure Cay Airport,TCB,MYAT
Chub Cay Airport,CCZ,MYBC
Great Harbour Cay Airport,GHC,MYBG
South Bimini Airport,BIM,MYBS
Exuma International Airport,GGT,MYEF
George Town Airport,\N,MYEG
North Eleuthera Airport,ELH,MYEH
Governor's Harbour Airport,GHB,MYEM
Normans Cay Airport,NMC,MYEN
Rock Sound Airport,RSD,MYER
Staniel Cay Airport,TYM,MYES
Grand Bahama International Airport,FPO,MYGF
Inagua Airport,IGA,MYIG
Deadman's Cay Airport,LGI,MYLD
Stella Maris Airport,SML,MYLS
Mayaguana Airport,MYG,MYMM
Lynden Pindling International Airport,NAS,MYNN
Duncan Town Airport,DCT,MYRD
Rum Cay Airport,RCY,MYRP
San Salvador Airport,ZSA,MYSM
Philip S. W. Goldson International Airport,BZE,MZBZ
Aitutaki Airport,AIT,NCAI
Rarotonga International Airport,RAR,NCRG
Nadi International Airport,NAN,NFFN
Nausori International Airport,SUV,NFNA
Fua'amotu International Airport,TBU,NFTF
Vava'u International Airport,VAV,NFTV
Bonriki International Airport,TRW,NGTA
Tabiteuea North Airport,TBF,NGTE
Hihifo Airport,WLS,NLWW
Faleolo International Airport,APW,NSFA
Pago Pago International Airport,PPG,NSTU
Rurutu Airport,RUR,NTAR
Tubuai Airport,TUB,NTAT
Anaa Airport,AAA,NTGA
Fangatau Airport,FGU,NTGB
Tikehau Airport,TIH,NTGC
Reao Airport,REA,NTGE
Fakarava Airport,FAV,NTGF
Manihi Airport,XMH,NTGI
Totegegie Airport,GMR,NTGJ
Kaukura Airport,KKR,NTGK
Makemo Airport,MKP,NTGM
Puka Puka Airport,PKP,NTGP
Takapoto Airport,TKP,NTGT
Arutua Airport,AXR,NTGU
Mataiva Airport,MVT,NTGV
Takaroa Airport,TKX,NTKR
Nuku Hiva Airport,NHV,NTMD
Bora Bora Airport,BOB,NTTB
Rangiroa Airport,RGI,NTTG
Huahine-Fare Airport,HUH,NTTH
Moorea Airport,MOZ,NTTM
Hao Airport,HOI,NTTO
Maupiti Airport,MAU,NTTP
Raiatea Airport,RFP,NTTR
Bauerfield International Airport,VLI,NVVV
Koné Airport,KNQ,NWWD
Koumac Airport,KOC,NWWK
Lifou Airport,LIF,NWWL
Nouméa Magenta Airport,GEA,NWWM
Maré Airport,MEE,NWWR
Touho Airport,TOU,NWWU
Ouvéa Airport,UVE,NWWV
La Tontouta International Airport,NOU,NWWW
Auckland International Airport,AKL,NZAA
Taupo Airport,TUO,NZAP
Ardmore Airport,AMZ,NZAR
Christchurch International Airport,CHC,NZCH
Chatham Islands-Tuuta Airport,CHT,NZCI
Dunedin Airport,DUD,NZDN
Gisborne Airport,GIS,NZGS
Glentanner Airport,GTN,NZGT
Hokitika Airfield,HKK,NZHK
Hamilton International Airport,HLZ,NZHN
Hastings Aerodrome,\N,NZHS
Kerikeri Airport,KKE,NZKK
Kaitaia Airport,KAT,NZKT
Alexandra Airport,ALR,NZLX
Mount Cook Airport,MON,NZMC
Manapouri Airport,TEU,NZMO
Hood Airport,MRO,NZMS
New Plymouth Airport,NPL,NZNP
Nelson Airport,NSN,NZNS
Invercargill Airport,IVC,NZNV
RNZAF Base Ohakea,OHA,NZOH
Oamaru Airport,OAM,NZOU
Palmerston North Airport,PMR,NZPM
Paraparaumu Airport,PPQ,NZPP
Queenstown International Airport,ZQN,NZQN
Rotorua Regional Airport,ROT,NZRO
Waiouru Airport,\N,NZRU
South Pole Station Airport,\N,NZSP
Tauranga Airport,TRG,NZTG
Timaru Airport,TIU,NZTU
Pukaki Airport,TWZ,NZUK
Woodbourne Airport,BHE,NZWB
Williams Field,\N,NZWD
Wanaka Airport,WKA,NZWF
Wigram Airport,\N,NZWG
Whakatane Airport,WHK,NZWK
Wellington International Airport,WLG,NZWN
Wairoa Airport,WIR,NZWO
RNZAF Base Auckland-Whenuapai,\N,NZWP
Whangarei Airport,WRE,NZWR
Westport Airport,WSZ,NZWS
Wanganui Airport,WAG,NZWU
Herat Airport,HEA,OAHR
Jalalabad Airport,JAA,OAJL
Hamid Karzai International Airport,KBL,OAKB
Kandahar Airport,KDH,OAKN
Maimana Airport,MMZ,OAMN
Mazar I Sharif Airport,MZR,OAMS
Shindand Airport,OAH,OASD
Sheberghan Airport,\N,OASG
Konduz Airport,UND,OAUZ
Bahrain International Airport,BAH,OBBI
Sheik Isa Air Base,\N,OBBS
Abha Regional Airport,AHB,OEAB
Al Ahsa Airport,HOF,OEAH
Al Baha Airport,ABT,OEBA
Bisha Airport,BHH,OEBH
Abqaiq Airport,\N,OEBQ
King Fahd International Airport,DMM,OEDF
King Abdulaziz Air Base,DHA,OEDR
Jizan Regional Airport,GIZ,OEGN
Gassim Airport,ELQ,OEGS
Gurayat Domestic Airport,URY,OEGT
Ha'il Airport,HAS,OEHL
Jubail Airport,QJB,OEJB
King Faisal Naval Base,\N,OEJF
King Abdulaziz International Airport,JED,OEJN
King Khaled Military City Airport,KMC,OEKK
Prince Mohammad Bin Abdulaziz Airport,MED,OEMA
Nejran Airport,EAM,OENG
Al Qaisumah/Hafr Al Batin Airport,AQI,OEPA
Pump Station 3 Airport,\N,OEPC
Pump Station 6 Airport,\N,OEPF
Pump Station 10 Airport,\N,OEPJ
Rabigh Airport,\N,OERB
Rafha Domestic Airport,RAH,OERF
King Khaled International Airport,RUH,OERK
Ras Mishab Airport,\N,OERM
Arar Domestic Airport,RAE,OERR
Ras Tanura Airport,\N,OERT
Sharurah Airport,SHW,OESH
Sulayel Airport,SLF,OESL
Tabuk Airport,TUU,OETB
Ta’if Regional Airport,TIF,OETF
Thumamah Airport,\N,OETH
Ras Tanajib Airport,\N,OETN
Turaif Domestic Airport,TUI,OETR
Al Wajh Domestic Airport,EJH,OEWJ
Prince Abdulmohsin Bin Abdulaziz Airport,YNB,OEYN
Abadan Airport,ABD,OIAA
Dezful Airport,DEF,OIAD
Aghajari Airport,AKW,OIAG
Gachsaran Airport,GCH,OIAH
Shahid Asyaee Airport,\N,OIAI
Omidiyeh Airport,OMI,OIAJ
Mahshahr Airport,MRX,OIAM
Ahwaz Airport,AWZ,OIAW
Abu Musa Island Airport,AEU,OIBA
Bushehr Airport,BUZ,OIBB
Bastak Airport,\N,OIBH
Asaloyeh Airport,\N,OIBI
Kish International Airport,KIH,OIBK
Bandar Lengeh Airport,BDH,OIBL
Khark Island Airport,KHK,OIBQ
Sirri Island Airport,SXI,OIBS
Lavan Island Airport,LVP,OIBV
Shahid Ashrafi Esfahani Airport,KSH,OICC
Sanandaj Airport,SDG,OICS
Hesa Airport,IFH,OIFE
Shahid Vatan Pour Air Base,\N,OIFH
Kashan Airport,KKS,OIFK
Esfahan Shahid Beheshti International Airport,IFN,OIFM
Badr Air Base,\N,OIFP
Sardar-e-Jangal Airport,RAS,OIGG
Arak Airport,AJK,OIHR
Ghazvin Azadi Airport,\N,OIIA
Kushke Nosrat Airport,\N,OIIC
Doshan Tappeh Air Base,\N,OIID
Ghale Morghi Airport,\N,OIIG
Mehrabad International Airport,THR,OIII
Qazvin Airport,GZW,OIIK
Naja Airport,\N,OIIM
Bandar Abbas International Airport,BND,OIKB
Jiroft Airport,JYR,OIKJ
Kerman Airport,KER,OIKK
Havadarya Airport,HDR,OIKP
Dayrestan Airport,\N,OIKQ
Sirjan Airport,SYJ,OIKY
Birjand Airport,XBJ,OIMB
Sarakhs Airport,CKT,OIMC
Shahroud Airport,RUD,OIMJ
Tabas Airport,TCX,OIMT
Kalaleh Airport,KLM,OINE
Ramsar Airport,RZR,OINR
Fasa Airport,FAZ,OISF
Jahrom Airport,JAR,OISJ
Lamerd Airport,LFM,OISR
Shiraz Shahid Dastghaib International Airport,SYZ,OISS
Khoy Airport,KHY,OITK
Tabriz International Airport,TBZ,OITT
Zanjan Airport,JWN,OITZ
Shahid Sadooghi Airport,AZD,OIYY
Zabol Airport,ACZ,OIZB
Konarak Airport,ZBR,OIZC
Zahedan International Airport,ZAH,OIZH
Iran Shahr Airport,IHR,OIZI
Saravan Airport,\N,OIZS
Queen Alia International Airport,AMM,OJAI
Amman-Marka International Airport,ADJ,OJAM
Aqaba King Hussein International Airport,AQJ,OJAQ
Prince Hassan Air Base,\N,OJHF
Jerusalem Airport,\N,OJJR
King Hussein Air College,OMF,OJMF
Kuwait International Airport,KWI,OKBK
Beirut Rafic Hariri International Airport,BEY,OLBA
Rene Mouawad Air Base,KYE,OLKA
Abu Dhabi International Airport,AUH,OMAA
Bateen Airport,AZI,OMAD
Al Hamra Aux Airport,\N,OMAH
Jebel Dhana Airport,\N,OMAJ
Al Dhafra Air Base,DHF,OMAM
Arzanah Airport,\N,OMAR
Das Island Airport,\N,OMAS
Zirku Airport,\N,OMAZ
Dubai International Airport,DXB,OMDB
Fujairah International Airport,FJR,OMFJ
Ras Al Khaimah International Airport,RKT,OMRK
Sharjah International Airport,SHJ,OMSJ
Khasab Air Base,KHS,OOKB
Masirah Air Base,MSH,OOMA
Muscat International Airport,MCT,OOMS
Salalah Airport,SLL,OOSA
Thumrait Air Base,TTH,OOTH
Bhagatanwala Airport,BHW,OPBG
Faisalabad International Airport,LYP,OPFA
Gwadar International Airport,GWD,OPGD
Gilgit Airport,GIL,OPGT
Shahbaz Air Base,JAG,OPJA
Jinnah International Airport,KHI,OPKC
Alama Iqbal International Airport,LHE,OPLA
Walton Airport,\N,OPLH
Mangla Airport,XJM,OPMA
Muzaffarabad Airport,MFG,OPMF
Mianwali Air Base,MWD,OPMI
Moenjodaro Airport,MJD,OPMJ
Masroor Air Base,\N,OPMR
Multan International Airport,MUX,OPMT
Shaheed Benazirabad Airport,WNS,OPNH
Okara Cantonment Airstrip,\N,OPOK
Panjgur Airport,PJG,OPPG
Pasni Airport,PSI,OPPI
Peshawar International Airport,PEW,OPPS
Qasim Airport,\N,OPQS
Quetta International Airport,UET,OPQT
Shaikh Zaid Airport,RYK,OPRK
Benazir Bhutto International Airport,\N,OPRN
Risalpur Air Base,\N,OPRS
Rawalakot Airport,RAZ,OPRT
Sukkur Airport,SKZ,OPSK
Saidu Sharif Airport,SDT,OPSS
Sui Airport,SUL,OPSU
Talhar Airport,BDN,OPTH
Wana Airport,WAF,OPWN
Zhob Airport,PZH,OPZB
Basrah International Airport,BSR,ORMM
Aleppo International Airport,ALP,OSAP
Damascus International Airport,DAM,OSDI
Deir ez-Zor Air Base,DEZ,OSDZ
Bassel Al-Assad International Airport,LTK,OSLK
Palmyra Airport,PMS,OSPR
Doha International Airport,DIA,OTBD
Canton Island Airport,CIS,PCIS
Rota International Airport,ROP,PGRO
Saipan International Airport,SPN,PGSN
Andersen Air Force Base,UAM,PGUA
Antonio B. Won Pat International Airport,GUM,PGUM
Tinian International Airport,TIQ,PGWT
Marshall Islands International Airport,MAJ,PKMJ
Dyess Army Air Field,\N,PKRO
Bucholz Army Air Field,KWA,PKWA
Cassidy International Airport,CXI,PLCH
Henderson Field,MDY,PMDY
Chuuk International Airport,TKK,PTKK
Pohnpei International Airport,PNI,PTPN
Babelthuap Airport,ROR,PTRO
Kosrae International Airport,KSA,PTSA
Yap International Airport,YAP,PTYA
Kinmen Airport,KNH,RCBS
Pingtung South Airport,\N,RCDC
Longtan Air Base,\N,RCDI
Taitung Airport,TTT,RCFN
Lyudao Airport,GNI,RCGI
Kaohsiung International Airport,KHH,RCKH
Chiayi Airport,CYI,RCKU
Lanyu Airport,KYD,RCLY
Taichung Ching Chuang Kang Airport,RMQ,RCMQ
Tainan Airport,TNN,RCNN
Hsinchu Air Base,HSZ,RCPO
Makung Airport,MZG,RCQC
Chihhang Air Base,\N,RCQS
Pingtung North Airport,PIF,RCSQ
Taipei Songshan Airport,TSA,RCSS
Taiwan Taoyuan International Airport,TPE,RCTP
Wang-an Airport,WOT,RCWA
Hualien Airport,HUN,RCYU
Narita International Airport,NRT,RJAA
Matsumoto Airport,MMJ,RJAF
Hyakuri Airport,IBR,RJAH
Minami Torishima Airport,MUS,RJAM
Iwo Jima Airport,IWO,RJAW
Nanki Shirahama Airport,SHM,RJBD
Kohnan Airport,\N,RJBK
Tokachi-Obihiro Airport,OBO,RJCB
New Chitose Airport,CTS,RJCC
Hakodate Airport,HKD,RJCH
Chitose Air Base,\N,RJCJ
Memanbetsu Airport,MMB,RJCM
Nakashibetsu Airport,SHB,RJCN
Tokachi Airport,\N,RJCT
Wakkanai Airport,WKJ,RJCW
Iki Airport,IKI,RJDB
Yamaguchi Ube Airport,UBJ,RJDC
Tsushima Airport,TSJ,RJDT
Monbetsu Airport,MBE,RJEB
Asahikawa Airport,AKJ,RJEC
Okushiri Airport,OIR,RJEO
Rishiri Airport,RIS,RJER
Ashiya Airport,\N,RJFA
Yakushima Airport,KUM,RJFC
Fukue Airport,FUJ,RJFE
Fukuoka Airport,FUK,RJFF
New Tanegashima Airport,TNE,RJFG
Kagoshima Airport,KOJ,RJFK
Miyazaki Airport,KMI,RJFM
Nyutabaru Airport,\N,RJFN
Oita Airport,OIT,RJFO
Kitakyūshū Airport,KKJ,RJFR
Kumamoto Airport,KMJ,RJFT
Nagasaki Airport,NGS,RJFU
Kanoya Airport,\N,RJFY
Tsuiki Air Field,\N,RJFZ
Amami Airport,ASJ,RJKA
Okierabu Airport,OKE,RJKB
Tokunoshima Airport,TKN,RJKN
Fukui Airport,FKJ,RJNF
Gifu Airport,QGU,RJNG
Hamamatsu Airport,\N,RJNH
Komatsu Airport,KMQ,RJNK
Oki Airport,OKI,RJNO
Toyama Airport,TOY,RJNT
Shizuhama Airport,\N,RJNY
Hiroshima Airport,HIJ,RJOA
Okayama Airport,OKJ,RJOB
Izumo Airport,IZO,RJOC
Hofu Airport,\N,RJOF
Miho Yonago Airport,YGJ,RJOH
Kōchi Ryōma Airport,KCZ,RJOK
Matsuyama Airport,MYJ,RJOM
Osaka International Airport,ITM,RJOO
Tottori Airport,TTJ,RJOR
Tokushima Airport/JMSDF Air Base,TKS,RJOS
Takamatsu Airport,TAK,RJOT
Yao Airport,\N,RJOY
Ozuki Airport,\N,RJOZ
Aomori Airport,AOJ,RJSA
Yamagata Airport,GAJ,RJSC
Sado Airport,SDS,RJSD
Hachinohe Airport,HHE,RJSH
Hanamaki Airport,HNA,RJSI
Akita Airport,AXT,RJSK
Misawa Air Base,MSJ,RJSM
Sendai Airport,SDJ,RJSS
Matsushima Air Base,\N,RJST
Atsugi Naval Air Facility,NJA,RJTA
Tateyama Airport,\N,RJTE
Hachijojima Airport,HAC,RJTH
Iruma Air Base,\N,RJTJ
Kisarazu Airport,\N,RJTK
Shimofusa Airport,\N,RJTL
Oshima Airport,OIM,RJTO
Kastner Army Heliport,\N,RJTR
Tokyo Haneda International Airport,HND,RJTT
Yokota Air Base,OKO,RJTY
Gwangju Airport,KWJ,RKJJ
Jeon Ju Airport (G-703),CHN,RKJU
Yeosu Airport,RSU,RKJY
Sokcho Airport,\N,RKND
Gangneung Airport (K-18),KAG,RKNN
Jeju International Airport,CJU,RKPC
Jinhae Airbase/Airport (G-813/K-10),CHF,RKPE
Gimhae International Airport,PUS,RKPK
Ulsan Airport,USN,RKPU
A 511 Airport,\N,RKSG
Seoul Air Base (K-16),SSN,RKSM
Osan Air Base,OSN,RKSO
Gimpo International Airport,GMP,RKSS
Suwon Airport,SWU,RKSW
Pohang Airport (G-815/K-3),KPO,RKTH
Daegu Airport,TAE,RKTN
Yecheon Airbase,YEC,RKTY
Naha Airport,OKA,ROAH
Ie Shima Auxiliary Air Base,\N,RODE
Kadena Air Base,DNA,RODN
New Ishigaki Airport,ISG,ROIG
Kumejima Airport,UEO,ROKJ
Minami-Daito Airport,MMD,ROMD
Miyako Airport,MMY,ROMY
Kitadaito Airport,KTD,RORK
Shimojishima Airport,SHI,RORS
Tarama Airport,TRA,RORT
Yoron Airport,RNJ,RORY
Futenma Marine Corps Air Station,\N,ROTM
Yonaguni Airport,OGN,ROYN
Ninoy Aquino International Airport,MNL,RPLL
Awang Airport,CBO,RPMC
Cagayan De Oro Airport,\N,RPML
Pagadian Airport,PAG,RPMP
General Santos International Airport,GES,RPMR
Zamboanga International Airport,ZAM,RPMZ
Loakan Airport,BAG,RPUB
Daet Airport,DTE,RPUD
Basa Air Base,\N,RPUF
Lingayen Airport,\N,RPUG
San Jose Airport,SJI,RPUH
Fernando Air Base,\N,RPUL
Mamburao Airport,MBO,RPUM
Vigan Airport,\N,RPUQ
Dr.Juan C. Angara Airport,BQA,RPUR
Bagabag Airport,\N,RPUZ
Daniel Z. Romualdez Airport,TAC,RPVA
Bacolod-Silay Airport,BCD,RPVB
Sibulan Airport,DGT,RPVD
Godofredo P. Ramos Airport,MPH,RPVE
Guiuan Airport,\N,RPVG
Iloilo International Airport,ILO,RPVI
Kalibo International Airport,KLO,RPVK
Puerto Princesa Airport,PPS,RPVP
Evelio Javier Airport,EUQ,RPVS
Comodoro Pierrestegui Airport,COC,SAAC
Gualeguaychu Airport,GHU,SAAG
Junin Airport,JNI,SAAJ
General Urquiza Airport,PRA,SAAP
Islas Malvinas Airport,ROS,SAAR
Sauce Viejo Airport,SFN,SAAV
Jorge Newbery Airpark,AEP,SABE
Ingeniero Ambrosio Taravella Airport,COR,SACO
Chamical Airport,\N,SACT
San Fernando Airport,FDO,SADF
Mariano Moreno Airport,\N,SADJ
La Plata Airport,LPG,SADL
Moron Airport,\N,SADM
El Palomar Airport,EPA,SADP
Chos Malal Airport,HOS,SAHC
Dr. Arturo H. Illia Airport,GNR,SAHR
El Plumerillo Airport,MDZ,SAME
Comodoro D.R. Salomón Airport,LGS,SAMM
Suboficial Ay Santiago Germano Airport,AFA,SAMR
Catamarca Airport,CTC,SANC
Vicecomodoro Angel D. La Paz Aragonés Airport,SDE,SANE
Tinogasta Airport,\N,SANI
Capitan V A Almonacid Airport,IRJ,SANL
Chilecito Airport,\N,SANO
Teniente Benjamin Matienzo Airport,TUC,SANT
Domingo Faustino Sarmiento Airport,UAQ,SANU
Area De Material Airport,RCU,SAOC
Villa Dolores Airport,VDR,SAOD
La Quiaca Airport,\N,SAOL
Marcos Juarez Airport,\N,SAOM
Villa Reynolds Airport,VME,SAOR
Brigadier Mayor D Cesar Raul Ojeda Airport,LUQ,SAOU
Corrientes Airport,CNQ,SARC
Resistencia International Airport,RES,SARE
Formosa Airport,FMA,SARF
Cataratas Del Iguazú International Airport,IGR,SARI
Paso De Los Libres Airport,AOL,SARL
Monte Caseros Airport,MCS,SARM
Libertador Gral D Jose De San Martin Airport,PSS,SARP
Termal Airport,PRQ,SARS
Martin Miguel De Guemes International Airport,SLA,SASA
Gobernador Horacio Guzman International Airport,JUJ,SASJ
Orán Airport,ORA,SASO
Laboulaye Airport,\N,SASQ
El Dorado Airport,ELO,SATD
Goya Airport,OYA,SATG
Oberá Airport,\N,SATO
Reconquista Airport,RCQ,SATR
Curuzu Cuatia Airport,UZU,SATU
El Bolson Airport,EHL,SAVB
General E. Mosconi Airport,CRD,SAVC
Brigadier Antonio Parodi Airport,EQS,SAVE
Almirante Marco Andres Zar Airport,REL,SAVT
Gobernador Castello Airport,VDM,SAVV
El Tehuelche Airport,PMY,SAVY
Marambio Base,\N,SAWB
Puerto Deseado Airport,PUD,SAWD
Hermes Quijada International Airport,RGA,SAWE
Piloto Civil N. Fernández Airport,RGL,SAWG
Malvinas Argentinas Airport,USH,SAWH
Capitan D Daniel Vazquez Airport,ULA,SAWJ
Perito Moreno Airport,PMQ,SAWP
Santa Cruz Airport,RZA,SAWU
Comandante Espora Airport,BHI,SAZB
Brigadier D.H.E. Ruiz Airport,CSZ,SAZC
Olavarria Airport,OVR,SAZF
General Pico Airport,GPO,SAZG
Tres Arroyos Airport,OYO,SAZH
Bolivar Airport,\N,SAZI
Ástor Piazzola International Airport,MDQ,SAZM
Presidente Peron Airport,NQN,SAZN
Comodoro Pedro Zanni Airport,PEH,SAZP
Santa Rosa Airport,RSA,SAZR
San Carlos De Bariloche Airport,BRC,SAZS
Héroes De Malvinas Airport,TDL,SAZT
Villa Gesell Airport,VLG,SAZV
Cutral-Co Airport,CUT,SAZW
Aviador C. Campos Airport,CPC,SAZY
Conceição do Araguaia Airport,CDJ,SBAA
Campo Délio Jardim de Mattos Airport,\N,SBAF
Amapá Airport,\N,SBAM
Araraquara Airport,AQA,SBAQ
Santa Maria Airport,AJU,SBAR
Piloto Osvaldo Marques Dias Airport,AFL,SBAT
Araçatuba Airport,ARU,SBAU
Val de Cans/Júlio Cezar Ribeiro International Airport,BEL,SBBE
Comandante Gustavo Kraemer Airport,BGX,SBBG
Pampulha - Carlos Drummond de Andrade Airport,PLU,SBBH
Bacacheri Airport,BFH,SBBI
Major Brigadeiro Doorgal Borges Airport,\N,SBBQ
Presidente Juscelino Kubistschek International Airport,BSB,SBBR
Bauru Airport,BAU,SBBU
Atlas Brasil Cantanhede Airport,BVB,SBBV
Barra do Garças Airport,BPG,SBBW
Cascavel Airport,CAC,SBCA
Cachimbo Airport,\N,SBCC
Tancredo Neves International Airport,CNF,SBCF
Campo Grande Airport,CGR,SBCG
Serafin Enoss Bertaso Airport,XAP,SBCH
Brig. Lysias Augusto Rodrigues Airport,CLN,SBCI
Diomício Freitas Airport,CCM,SBCM
Canoas Air Force Base,\N,SBCO
Bartolomeu Lisandro Airport,CAW,SBCP
Corumbá International Airport,CMG,SBCR
Afonso Pena Airport,CWB,SBCT
Caravelas Airport,CRQ,SBCV
Hugo Cantergiani Regional Airport,CXJ,SBCX
Marechal Rondon Airport,CGB,SBCY
Cruzeiro do Sul Airport,CZS,SBCZ
Presidente Prudente Airport,PPB,SBDN
Eduardo Gomes International Airport,MAO,SBEG
Jacareacanga Airport,JCR,SBEK
São Pedro da Aldeia Airport,\N,SBES
Cataratas International Airport,IGU,SBFI
Hercílio Luz International Airport,FLN,SBFL
Fernando de Noronha Airport,FEN,SBFN
Furnas Airport,\N,SBFU
Pinto Martins International Airport,FOR,SBFZ
Rio Galeão – Tom Jobim International Airport,GIG,SBGL
Guajará-Mirim Airport,GJM,SBGM
Santa Genoveva Airport,GYN,SBGO
EMBRAER - Unidade Gavião Peixoto Airport,\N,SBGP
Guarulhos - Governador André Franco Montoro International Airport,GRU,SBGR
Guaratinguetá Airport,GUJ,SBGW
Altamira Airport,ATM,SBHT
Itacoatiara Airport,ITA,SBIC
Itaituba Airport,ITB,SBIH
Bahia - Jorge Amado Airport,IOS,SBIL
Usiminas Airport,IPN,SBIP
Francisco Vilela do Amaral Airport,ITR,SBIT
Prefeito Renato Moreira Airport,IMP,SBIZ
Belém/Brigadeiro Protásio de Oliveira Airport,\N,SBJC
Francisco de Assis Airport,JDF,SBJF
Presidente Castro Pinto International Airport,JPA,SBJP
Lauro Carneiro de Loyola Airport,JOI,SBJV
Presidente João Suassuna Airport,CPV,SBKG
Viracopos International Airport,VCP,SBKP
Lages Airport,LAJ,SBLJ
Lins Airport,LIP,SBLN
Governador José Richa Airport,LDB,SBLO
Bom Jesus da Lapa Airport,LAZ,SBLP
Lagoa Santa Airport,\N,SBLS
João Correa da Rocha Airport,MAB,SBMA
Monte Dourado Airport,MEU,SBMD
Regional de Maringá - Sílvio Nane Junior Airport,MGF,SBMG
Mário Ribeiro Airport,MOC,SBMK
Ponta Pelada Airport,PLL,SBMN
Zumbi dos Palmares Airport,MCZ,SBMO
Alberto Alcolumbre Airport,MCP,SBMQ
Dix-Sept Rosado Airport,MVF,SBMS
Campo de Marte Airport,\N,SBMT
Manicoré Airport,MNX,SBMY
Ministro Victor Konder International Airport,NVT,SBNF
Santo Ângelo Airport,GEL,SBNM
Governador Aluízio Alves International Airport,NAT,SBSG
Oiapoque Airport,OYK,SBOI
Salgado Filho Airport,POA,SBPA
Prefeito Doutor João Silva Filho Airport,PHB,SBPB
Poços de Caldas - Embaixador Walther Moreira Salles Airport,POO,SBPC
Lauro Kurtz Airport,PFB,SBPF
João Simões Lopes Neto International Airport,PET,SBPK
Senador Nilo Coelho Airport,PNZ,SBPL
Porto Nacional Airport,PNB,SBPN
