Goroka Airport,GKA,AYGA
Flin Flon Airport,YFO,CYFO
Fort Resolution Airport,YFR,CYFR
Fort Simpson Airport,YFS,CYFS
Kingston Norman Rogers Airport,YGK,CYGK
La Grande Rivière Airport,YGL,CYGL
Gaspé (Michel-Pouliot) Airport,YGP,CYGP
Geraldton Greenstone Regional Airport,YGQ,CYGQ
Îles-de-la-Madeleine Airport,YGR,CYGR
Hudson Bay Airport,YHB,CYHB
Dryden Regional Airport,YHD,CYHD
Ulukhaktok Holman Airport,YHI,CYHI
Gjoa Haven Airport,YHK,CYHK
John C. Munro Hamilton International Airport,YHM,CYHM
Montréal / Saint-Hubert Airport,YHU,CYHU
Hay River / Merlyn Carter Airport,YHY,CYHY
Halifax / Stanfield International Airport,YHZ,CYHZ
Atikokan Municipal Airport,YIB,CYIB
Pond Inlet Airport,YIO,CYIO
St Jean Airport,YJN,CYJN
Stephenville Airport,YJT,CYJT
Kamloops Airport,YKA,CYKA
Waterloo Airport,YKF,CYKF
Schefferville Airport,YKL,CYKL
Kindersley Airport,YKY,CYKY
Buttonville Municipal Airport,YKZ,CYKZ
Chapleau Airport,YLD,CYLD
Meadow Lake Airport,YLJ,CYLJ
Lloydminster Airport,YLL,CYLL
Alert Airport,YLT,CYLT
Kelowna International Airport,YLW,CYLW
Mayo Airport,YMA,CYMA
Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,CYMJ
Fort McMurray Airport,YMM,CYMM
Moosonee Airport,YMO,CYMO
Maniwaki Airport,YMW,CYMW
Montreal International (Mirabel) Airport,YMX,CYMX
Natashquan Airport,YNA,CYNA
Ottawa / Gatineau Airport,YND,CYND
Matagami Airport,YNM,CYNM
Old Crow Airport,YOC,CYOC
CFB Cold Lake,YOD,CYOD
High Level Airport,YOJ,CYOJ
Ottawa Macdonald-Cartier International Airport,YOW,CYOW
Prince Albert Glass Field,YPA,CYPA
Peace River Airport,YPE,CYPE
Southport Airport,YPG,CYPG
Pitt Meadows Airport,\N,CYPK
Pickle Lake Airport,YPL,CYPL
Port Menier Airport,YPN,CYPN
Peterborough Airport,YPQ,CYPQ
Prince Rupert Airport,YPR,CYPR
Fort Chipewyan Airport,YPY,CYPY
Muskoka Airport,YQA,CYQA
Quebec Jean Lesage International Airport,YQB,CYQB
Red Deer Regional Airport,YQF,CYQF
Windsor Airport,YQG,CYQG
Watson Lake Airport,YQH,CYQH
Kenora Airport,YQK,CYQK
Lethbridge County Airport,YQL,CYQL
Greater Moncton International Airport,YQM,CYQM
Comox Airport,YQQ,CYQQ
Regina International Airport,YQR,CYQR
Thunder Bay Airport,YQT,CYQT
Grande Prairie Airport,YQU,CYQU
Yorkton Municipal Airport,YQV,CYQV
North Battleford Airport,YQW,CYQW
Gander International Airport,YQX,CYQX
Sydney / J.A. Douglas McCurdy Airport,YQY,CYQY
Quesnel Airport,YQZ,CYQZ
Resolute Bay Airport,YRB,CYRB
Rivière-du-Loup Airport,YRI,CYRI
Roberval Airport,YRJ,CYRJ
Rocky Mountain House Airport,YRM,CYRM
Rankin Inlet Airport,YRT,CYRT
Sudbury Airport,YSB,CYSB
Sherbrooke Airport,YSC,CYSC
Saint John Airport,YSJ,CYSJ
Fort Smith Airport,YSM,CYSM
Nanisivik Airport,YSR,CYSR
Summerside Airport,YSU,CYSU
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,CYSY
Cape Dorset Airport,YTE,CYTE
Thompson Airport,YTH,CYTH
CFB Trenton,YTR,CYTR
Timmins/Victor M. Power,YTS,CYTS
Billy Bishop Toronto City Centre Airport,YTZ,CYTZ
Tuktoyaktuk Airport,YUB,CYUB
Montreal / Pierre Elliott Trudeau International Airport,YUL,CYUL
Repulse Bay Airport,YUT,CYUT
Hall Beach Airport,YUX,CYUX
Rouyn Noranda Airport,YUY,CYUY
La Ronge Airport,YVC,CYVC
Vermilion Airport,YVG,CYVG
Qikiqtarjuaq Airport,YVM,CYVM
Val-d'Or Airport,YVO,CYVO
Kuujjuaq Airport,YVP,CYVP
Norman Wells Airport,YVQ,CYVQ
Vancouver International Airport,YVR,CYVR
Buffalo Narrows Airport,YVT,CYVT
Wiarton Airport,YVV,CYVV
Petawawa Airport,YWA,CYWA
Winnipeg / James Armstrong Richardson International Airport,YWG,CYWG
Wabush Airport,YWK,CYWK
Williams Lake Airport,YWL,CYWL
Wrigley Airport,YWY,CYWY
Cranbrook/Canadian Rockies International Airport,YXC,CYXC
Edmonton City Centre (Blatchford Field) Airport,YXD,CYXD
Saskatoon John G. Diefenbaker International Airport,YXE,CYXE
Medicine Hat Airport,YXH,CYXH
Fort St John Airport,YXJ,CYXJ
Sioux Lookout Airport,YXL,CYXL
Pangnirtung Airport,YXP,CYXP
Earlton (Timiskaming Regional) Airport,YXR,CYXR
Prince George Airport,YXS,CYXS
Northwest Regional Airport Terrace-Kitimat,YXT,CYXT
London Airport,YXU,CYXU
Abbotsford Airport,YXX,CYXX
Whitehorse / Erik Nielsen International Airport,YXY,CYXY
North Bay Jack Garland Airport,YYB,CYYB
Calgary International Airport,YYC,CYYC
Smithers Airport,YYD,CYYD
Fort Nelson Airport,YYE,CYYE
Penticton Airport,YYF,CYYF
Charlottetown Airport,YYG,CYYG
Taloyoak Airport,YYH,CYYH
Victoria International Airport,YYJ,CYYJ
Lynn Lake Airport,YYL,CYYL
Swift Current Airport,YYN,CYYN
Churchill Airport,YYQ,CYYQ
Goose Bay Airport,YYR,CYYR
St. John's International Airport,YYT,CYYT
Kapuskasing Airport,YYU,CYYU
Armstrong Airport,YYW,CYYW
Mont Joli Airport,YYY,CYYY
Lester B. Pearson International Airport,YYZ,CYYZ
Downsview Airport,YZD,CYZD
Gore Bay Manitoulin Airport,YZE,CYZE
Yellowknife Airport,YZF,CYZF
Slave Lake Airport,YZH,CYZH
Sandspit Airport,YZP,CYZP
Chris Hadfield Airport,YZR,CYZR
Port Hardy Airport,YZT,CYZT
Whitecourt Airport,YZU,CYZU
Sept-Îles Airport,YZV,CYZV
Teslin Airport,YZW,CYZW
CFB Greenwood,YZX,CYZX
Faro Airport,ZFA,CZFA
Fort Mcpherson Airport,ZFM,CZFM
Blida Airport,QLD,DAAB
Bou Saada Airport,BUJ,DAAD
Soummam Airport,BJA,DAAE
Houari Boumediene Airport,ALG,DAAG
Djanet Inedbirene Airport,DJG,DAAJ
Boufarik Airport,\N,DAAK
Reggane Airport,\N,DAAN
Illizi Takhamalt Airport,VVZ,DAAP
Ain Oussera Airport,\N,DAAQ
Aguenar – Hadj Bey Akhamok Airport,TMR,DAAT
Jijel Ferhat Abbas Airport,GJL,DAAV
